38 Provinsi,,,,,,,,
,Produksi Tanaman Perkebunan (Ribu Ton),,,,,,,
,Kelapa Sawit,Kelapa,Karet,Kopi,Kakao,Tebu,Teh,Tembakau
,2024,2024,2024,2024,2024,2024,2024,2024
ACEH,1060.53,63.06,53.62,71.08,36.51,0,0,2.21
SUMATERA UTARA,5057.15,104.68,266.93,91.9,39.43,14.52,9.32,1.94
SUMATERA BARAT,1403.4,79.14,110.84,13.2,32.75,0,5.58,0.14
RIAU,9367.6,407.74,191.33,1.84,0.84,0,0,0
JAMBI,2233.23,115.4,235.94,20.61,0.75,0,4.66,0.18
SUMATERA SELATAN,3951.37,61.12,648.18,209.47,3.86,109.4,2.67,0.04
BENGKULU,1305.76,7.09,71.85,54.09,3.13,0,1.89,0
LAMPUNG,459.74,81.63,90.61,141.93,47.88,659.45,0,0.55
KEP. BANGKA BELITUNG,888.92,5.13,29.75,0.09,0.3,0,0,0
KEP. RIAU,23.55,12.22,10.13,0,0.01,0,0,0
DKI JAKARTA,0,0,0,0,0,0,0,0
JAWA BARAT,43.49,87.94,19,25.55,0.69,48.67,84.21,8.54
JAWA TENGAH,0,151.83,21.76,26.92,1.42,236.03,13.46,55.34
DI YOGYAKARTA,0,49.73,0,1.27,1.85,3.22,0.23,0.54
JAWA TIMUR,0,216.6,17.87,48.05,19.89,1273.39,2.13,213.57
BANTEN,34.77,45.83,6.97,1.99,2.12,0,0.01,0
BALI,0,68.25,0,13.71,4.82,0,0,0.26
NUSA TENGGARA BARAT,0,49.81,0,6.46,2.62,18.22,0,67.57
NUSA TENGGARA TIMUR,0,64.11,0,25.83,19.73,10.77,0,0.78
KALIMANTAN BARAT,5437.4,77.13,166.97,2.97,0.6,0,0,0
KALIMANTAN TENGAH,8473.32,16.67,117.15,0.23,1.59,0,0,0
KALIMANTAN SELATAN,1337.99,24.21,133.97,0.94,0.06,0,0,0
KALIMANTAN TIMUR,3944.15,11,56.67,0.2,0.98,0,0,0
KALIMANTAN UTARA,625.64,0.64,0.17,0.17,0.84,0,0,0
SULAWESI UTARA,0,268.56,0,3.73,5.57,0,0,0
SULAWESI TENGAH,445.46,195.05,2.13,3.31,124.72,0,0,0.06
SULAWESI SELATAN,133,67.07,4.39,30.63,76.97,22.56,0,1.67
SULAWESI TENGGARA,74.5,42.9,0.3,2.88,107.88,15.41,0,0
GORONTALO,27.5,66.72,0,0.13,1.93,53.89,0,0
SULAWESI BARAT,385.45,36.7,0,4.75,67.17,0,0,0
MALUKU,20.83,108.27,0.75,0.45,8.53,0,0,0
MALUKU UTARA,23.52,204.27,0,0.01,7.42,0,0,0
PAPUA BARAT,25.09,1.94,0,0.01,0.26,0,0,0
PAPUA BARAT DAYA,56.44,14.35,0,0,0.76,0,0,0
PAPUA,114.43,9.77,0,0.09,8,0,0,0
PAPUA SELATAN,483.36,4.35,4.82,0,0.01,0,0,0
PAPUA TENGAH,37.02,1.2,0,0.77,0.82,0,0,0
PAPUA PEGUNUNGAN,0,0.02,0,2.29,0,0,0,0
INDONESIA,47474.6,2822.12,2262.09,807.58,632.7,2465.51,124.16,353.39